frame_duration_us,requested_fps,run_ok,cam0_fps,cam0_frames,cam0_ms_per_frame,cam1_fps,cam1_frames,cam1_ms_per_frame,note
3400,294.12,True,282.39,1412,3.541,282.19,1411,3.544,
3200,312.5,True,299.94,1500,3.334,299.75,1499,3.336,
3000,333.33,True,319.39,1597,3.131,319.78,1599,3.127,
2800,357.14,True,341.4,1707,2.929,341.03,1706,2.932,
2600,384.62,True,368.88,1845,2.711,368.7,1844,2.712,
2400,416.67,True,396.03,1981,2.525,394.99,1975,2.532,
2200,454.55,True,435.35,2177,2.297,434.78,2174,2.3,
2000,500.0,True,476.31,2382,2.099,475.54,2378,2.103,
1900,526.32,True,500.77,2504,1.997,501.17,2506,1.995,
1800,555.56,True,526.8,2636,1.898,526.69,2635,1.899,
1750,571.43,False,,,,,,,process timed out and was killed -- treat subsequent runs with suspicion
