exposure_us,on,off,threshold,valid,toggles,timeouts,mean_lat,std_lat,freq
500,0.0,0.0,0.0,False,2,2,5.925,0.437,0.986
1000,0.0,0.0,0.0,False,2,2,5.924,0.104,0.985
1500,0.0,0.0,0.0,False,2,2,5.925,1.105,0.984
2000,0.0,0.0,0.0,False,4,2,138.035,228.707,1.474
3000,0.049,0.0,0.025,True,282,0,10.617,2.308,94.021
4000,3.508,0.0,1.754,True,278,0,10.78,2.161,92.583
5000,12.709,0.139,6.424,True,250,0,11.998,0.767,83.28
